ID,Bezirk,Mauersegler,Kontrolle,PLZ,Sperling,Ersatz,Ort,Schwalbe,Wichtig,Strasse,Star,Sanierung,Anhang,Fledermaus,Verloren,Erstbeobachtung,Andere,Melder,Beschreibung,Besonderes,Splitstrasse,ADDRESS,location,point,latitude,longitude,altitude
143,Wilmersdorf,1,0,14197,1,0,Berlin,0,0,Schlangenbader Str. 80,0,0,,0,0,9.5.2006 00:00:00,0,,"2017 dito
2014 2014 2x Mauersegler, direkt an Ecke und ca 1-2 m von Ecke Front Schlagenbader, sowie Sperlinge verteilt unter der Dachrinne, auch am kleinen Dach über Balkonfront Schlangenbader
2011 4x Sperlinge unter Dachrinne, über Haustür, Ecke zur Eberbacher, über Balkon links von Ecke, am Fallrohr/Dachrinne links von Ecke // an Ecke zur Eberbache unter Dachrinne Mauersegler, dicht daneben Sperlinge
2010 1x rechts von Haustür Sperlinge unter Dachrinne, 1x über Balkon rechts von Haustür unter Dachrinne Sperlinge und am 7.6.10 am 2. kleinen Fenster unter Dach, unter Dachrinne, gesehen von Fallrohr rechts neben Haustür Sperlinge
2006 1x Sperlinge unter Dachrinne ca, 2m links von Haustür
2007 dito","siehe auch Eberbacher 30
Sanierungsmaßnahme im Sommer bis Herbst 18, Fassadenarbeiten, keine Arbeiten an Dachrinne, Nester wurden vor Maßnahme verschlossen, Kontrolle und Baubegleitung durch UNB und Gutachterin
",Schlangenbader Str. 80,"Schlangenbader Str. 80, 14197, Berlin, Deutschland","80, Schlangenbader Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 14197, Deutschland","(52.4736902, 13.3083319, 0.0)",52.4736902,13.3083319,0.0
59,Wilmersdorf,0,0,14197,1,0,Berlin,0,0,Schlangenbader Str. 33,0,0,,0,0,16.7.2004 00:00:00,0,,2004 1x Sperlinge rechts über Haustür unter Dachrinne,,Schlangenbader Str. 33,"Schlangenbader Str. 33, 14197, Berlin, Deutschland","33, Schlangenbader Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 14197, Deutschland","(52.4712559, 13.3068185, 0.0)",52.4712559,13.3068185,0.0
142,Wilmersdorf,0,0,14197,1,0,Berlin,0,0,Schlangenbader Str. 25/Ecke Wiesbad.,0,0,,0,0,25.4.2006 00:00:00,0,,"2010 dito und Hinterfront, kann man gut vom Fahrstuhl der Wiesb 50c einsehen, zwischen 1 und 2 Plattensegment unter Fensterbrüstung 1 Etage
neu in 2007, 2008: 7	=2. und 3. Etage unter Brüstung, letzte Kante zur großen Flachterrasse, und neu
1	= 1. Etage, 2. Etage, 3. Etage unter Balkonbrüstung (rechte Kante an Bolle Eingang
2006: 1	= 1. Etage unter Balkonbrüstung 
2	= 1. Etage ca. 1,5 m links von Ecke unter Balkonbrüstung
3	= 1. Etage, ca. 2 m links von Ecke unter Brüstung sowie 2. Etage ca. 1 m rechts neben Haustür an Brüstung
4	= 2. Etage in der Mitte unter Brüstung
5	= 3. Etage am Hausflurbalkon Mauerkante rechte obere Ecke und in der 2. Etage unter Fensterbrüstung rechts 1.  Fenster
6	= 1. Etage ca. in der Mitte unter Brüstung",,Schlangenbader Str. 25,"Schlangenbader Str. 25, 14197, Berlin, Deutschland","Sankt Rochus Apotheke, 25, Schlangenbader Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 14197, Deutschland","(52.4728519, 13.3075782, 0.0)",52.4728519,13.3075782,0.0
150,Wilmersdorf,0,0,14197,1,0,Berlin,0,0,Schlangenbader Str. 24 B-E,0,0,,0,0,11.6.2006 00:00:00,0,,"2011 linke Hausseite 4. Etage Rundung/Verblendung Balkon/Terrasse und andere Stellen, Sperlinge zahlreich
2006,2007: links vom Hauseingang 1. Etage Terrassenbrüstung unter Ecke Sperlinge",,Schlangenbader Str. 24 B-E,"Schlangenbader Str. 24 B-E, 14197, Berlin, Deutschland","Schlangenbader Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 14197, Deutschland","(52.4763862, 13.3082913, 0.0)",52.4763862,13.3082913,0.0
243,Wilmersdorf,0,0,14197,1,0,Berlin,0,0,Schlangenbader Str. 23 A-E,0,0,,0,0,13.5.2007 00:00:00,0,,"2007: links vom Hauseingang 4. Etage Terrassenbrüstung unter Ecke Sperlinge, in 2011 dto",,Schlangenbader Str. 23 A-E,"Schlangenbader Str. 23 A-E, 14197, Berlin, Deutschland","Schlangenbader Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 14197, Deutschland","(52.4763862, 13.3082913, 0.0)",52.4763862,13.3082913,0.0
249,Wilmersdorf,0,0,14197,0,0,Berlin,1,0,Schlangenbader Str. 11,0,0,,0,0,4.6.2007 00:00:00,0,,"2007: Degewo Flachbau: 3x Mehlschwalben: Fenster erste Etage rechts neben Durchgang an Schlange 11, Fenster 1. Etage rechts im Duchgang, Fenster 3. Etage links im Duchgang",,Schlangenbader Str. 11,"Schlangenbader Str. 11, 14197, Berlin, Deutschland","11, Schlangenbader Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 14197, Deutschland","(52.4749885, 13.3079557, 0.0)",52.4749885,13.3079557,0.0
1734,Charlottenburg-Wilmersdorf,0,0,14193,1,1,,0,0,Schinkelstr. 2,0,0,,0,0,21.04.18,0,,"2018: Rechte Hausseite 5 Einbausteine, vermutlich dahinter Schwegler, hier 3x Sperlinge",,Schinkelstr. 2,"Schinkelstr. 2, 14193, Berlin, Deutschland","2, Schinkelstraße, Grunewald, Charlottenburg-Wilmersdorf, 14193, Deutschland","(52.493273900000005, 13.283411411232535, 0.0)",52.493273900000005,13.283411411232535,0.0
1457,Steglitz,0,0,12163,1,0,Berlin,0,0,Schildhornstr. 95/96,0,0,,0,0,18.06.2015,0,,"Sperlingseinflüge oben, hinter dem Fallrohr an der Gebäudeverbindung",,Schildhornstr. 95,"Schildhornstr. 95, 12163, Berlin, Deutschland","Herig, 95, Schildhornstraße, Steglitz, Steglitz-Zehlendorf, 12163, Deutschland","(52.4620893, 13.3223604, 0.0)",52.4620893,13.3223604,0.0
887,Mitte,0,0,12051,1,0,Berlin,0,0,Schierker Str. 8 / Körnerpark,1,0,,0,0,8.6.2011 00:00:00,1,,"2011 Massenhaft Sperlinge, Grünfinken, Stare in der Fassadenbegrünung der Orangerie, an Treppenaufgängen",,Schierker Str. 8 ,"Schierker Str. 8 , 12051, Berlin, Deutschland","Zitronencafé im Körnerpark, 8, Schierker Straße, Richardkiez, Neukölln, 12051, Deutschland","(52.4708958, 13.4368213, 0.0)",52.4708958,13.4368213,0.0
872,Lichtenberg,1,0,10367,0,0,Berlin,0,0,Scheffelstr. 14,0,0,,0,0,1.6.2000 00:00:00,0,,"2011 Mauersegler 1x Hinterhofhaus an der Giebelwand, die zum Westen zeigt., seit vielen Jahren,",,Scheffelstr. 14,"Scheffelstr. 14, 10367, Berlin, Deutschland","14, Scheffelstraße, Lichtenberg, Friedrichshain-Kreuzberg, Lichtenberg, 10367, Deutschland","(52.5206145, 13.4741659, 0.0)",52.5206145,13.4741659,0.0
