ID,Bezirk,Mauersegler,Kontrolle,PLZ,Sperling,Ersatz,Ort,Schwalbe,Wichtig,Strasse,Star,Sanierung,Anhang,Fledermaus,Verloren,Erstbeobachtung,Andere,Melder,Beschreibung,Besonderes
1519,Mitte,1,1,10117,1,0,Berlin,0,0,Krausenstr. 66,0,1,,0,0,18.6.15,0,,"2016 2x Mauersegler konnten beobachtet werden. Mehrere Einflugstellen allerdings verklebt, nach Sanierungsaktion 2015
2015 2x Mauersegler: Zwischen 2 u. 3. Platten Rechts und links über der 6ten Etage 1x Mauersegler weiter links in dem fünften Loch oben von rechts im Dachgeschoss // Haussperlinge über der 5tn Etage in Linie über der Eingangstür. 
weitere Mauersegler und Sperlinge verteilt in Plattenritzen vorhanden","Gerüst Aufstellung 14.9.15, UNB Mitte am 16.9.15 informiert,es wurde angefangen, die Plattenritzen zu verkleben. Nochmalige Intervention bei UNB, persönliches Vorsprechen. Die Verklebung wurde noch gestoppt, jedoch sind zwei Einflugstellen verschlossen worden. 



"
1256,Kreuzberg,1,1,10967,1,0,Berlin,0,0,Kottbusser Damm 62,0,0,,0,0,1.6.2014 00:00:00,0,,"2014: 3., 4. und 5. Etage, Neubau, Balkon, hinten im Hof, div. Einflüge, nicht bestätigt, leider konnte keine Aussage über die Art der Vögel gemacht werden, wahrscheinlich Mauersegler und Sperlinge, in 2015 muss Kontrolle erfolgen","Kontrolle, Arten durch Melderin nicht genau angegeben"
130,Kreuzberg,0,0,10963,1,0,Berlin,0,0,Köthener Str. 44,0,0,,0,0,21.7.2005 00:00:00,0,,"2005: 1x Sperlinge an der Hausgrenze zur 42, in Mauerspalt Höhe Ende 1. Etage.",
1504,Wilmersdorf,1,1,14199,1,0,Berlin,0,0,Kösener Str.9,0,0,,0,0,12.06.2015,0,,"2015 Haus nur noch teilweise bewohnt? Alte Fassade, viele Sperlinge am Haus, Einflug links von Haustür Fenster erste Etage Jalousiekasten, Hinterfront, einsehbar durch Toreinfahrt an Nummer 8: viele Mauersegleranflüge und Sperlinge auf dem Dach, wird beobachtet","Meldung an UNB vorab, da das Haus so erscheint, als ob demnächst saniert würde. Teilweise sind die Jalousien schon entfernt."
1499,Mitte,0,0,10179,1,0,Berlin,0,0,Köpenicker Straße 73,0,0,,0,0,31.07.2015,0,,Mehrere Sperlingsnester erste (wahrscheinlich auch noch höher) Etage direkt in den Jalousienkästen. Einflüge links vom Hauseingang gesehen.,
1554,Mitte,1,0,10179,0,0,Berlin,0,0,"Köpenicker Straße 100, 101",0,0,Foto(s),0,0,07.07.2016,0,,3x Mauerseglereinflüge an verschiedenen Stellen unter Dachtraufe. Davon ein Einflug oberstes Stockwerk am Balkon. Genaue Markierung auf Foto.,
1847,"Neukölln, Rudow",0,0,12357,1,0,Berlin,0,0,"Konradenstr. 2, Schule am Fliederbusch",0,1,Fotos,0,0,05.08.2019,0,,"Schulsanierung: Schule am Fliederbusch

2019-08: 2 Nester in Mauernischen Vorderseite Schule, 3 Nester hinter Jalousien. Keine Gerüste","Sanierung Fenster und Außenjalousien, 2. BA (2017), Schulhof (2022-2023)"
1354,Steglitz-Zehl,0,0,12207,1,0,Berlin,0,0,Königsberger Straße 79,0,0,,0,0,22.04.2015,0,,"Sperlingseinflüge unter Dachrinne, mitte, links. Es sieht so aus, als wären mind. 2 Nistplätze vorhanden.
",
646,Schöneberg,0,0,10827,1,0,Berlin,0,0,Kolonnenstr. 61,1,0,,0,0,24.6.2010 00:00:00,0,,"2010 altes Haus renovierungsbedürftig, im Hof begrünte Fassade mit Sperlings- und Staren verkehr","Fassadenbegrünung, renovierungsbedürftig"
645,Schöneberg,1,0,10827,1,0,Berlin,0,0,"Kolonnenstr. 56/Crellestr. 16 a,b,c",0,0,Foto 22,0,0,24.6.2010 00:00:00,0,,"2010 am Brückenweg, an Ecke unter Dachrinne Sperlinge, und viele weitere Sperlinge unter den Stützhölzern zwischen Wand und DAchrinne. Ist das Kitagebäude, Areal geht bis zur Kolonnenstr., Eingang Crellestr. 16 - Viele Mauersegleranflüge
Foto 22",
1172,Schöneberg,1,1,10827,1,0,Berlin,1,0,Kolonnenstr. 3,0,0,Foto Hofseite (Segler),0,0,22.8.2013 ,0,,"2016:hofseitig, einzusehen vom Bolzplatz Herbert/Ecke Feurigstr 3x Mauersegler:
linke Hausseite unter Dachrinne Position 1. Fenster //1x am mittigen Hausvorsprung unter Dachrinne links // 1x am Fallrohreingang/Dachrinne ganz links in Ecke
Mehrere Sperlinge verteilt an Dachrinne.

2013 Mehlschwalben in der 1. Etage am Balkon","Viele Segler hier, Haus bildet Hofkarree und liegt gegenüber der mit Einbausteinen versehenen Brandmauer von Feurig 4-5"
1602,Mitte,1,0,13357,1,0,Berlin,0,0,Koloniestr. 3-4,0,0,Foto vorhanden,0,0,02.07.15,0,,"2015: Niststätten im Hinterhaus, einsehbar vom Pankeweg/Arnheimsche Tresorfabrik.
6x Haussperling in den Lüftungslöchern
1x Mauersegler in Mauerausbruch am Fenster 3.OG (Foto)",
1848,Mariendorf,1,0,12109,0,0,Berlin,0,0,Kollostr. 9,0,1,,0,0,2019,0,,"2019-09: Mitteilung der UNB: es sind keine Sanierungen geplant

2019-08: Meldung über Online-Meldeformular

Angabetext: Die Wohnanlage steht zur Sanierung an und gehört der Vonovia
","Sanierung
Kontrolle und Meldung an die UNB Tempelhof-Schöneberg erforderlich"
502,Steglitz,1,0,12157,0,0,Berlin,0,0,Kniephofstr. 55,0,0,,0,0,1.7.2005 00:00:00,0,,"1 Nistplatz Mauersegler/ 4.Etage unterhalb der Regenrinne, direkt am Abfluß.Bis zu 7 Einflüge
2012 unverändert",
719,Steglitz,1,0,12157,1,0,Berlin,0,0,Kniephofstr. 48,0,0,Foto Ecke Fledermaus vorhanden,1,0,9.6.2011 00:00:00,0,,"2018: wie Vorjahre, aber zusätzlich Fledermaus (keine Artbestimmung, kleine Art) unterhalb der Dachrinne hofseitig, Foto vorhanden 
2011 Mauersegler 1x: 1 Einflug 3.OG überm Fenster auf Höhe des Hauseingangs unter der Dachrinne
Sperlinge: Einflüge mit Nistmatrerial gesichtet unter dem Fenster, 4.OG im Entlüftungskorb;",
